               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.031097,            0.021765,             0.04545,             0.52727,             0.54208,             0.49905,             0.45135,            0.023356,            0.015236,            0.049845,            0.001948,            0.001948,            0.001948
                 124,            0.030603,            0.023017,            0.045345,             0.65406,             0.47815,             0.49994,              0.4641,               0.023,            0.015227,            0.049813,            0.001882,            0.001882,            0.001882
                 125,            0.032075,            0.022829,            0.045276,             0.67948,             0.46576,              0.4988,             0.46294,            0.022997,            0.015236,            0.049699,            0.001816,            0.001816,            0.001816
                 126,            0.030542,            0.021622,            0.045087,             0.55964,             0.53444,             0.50348,             0.45961,            0.023746,             0.01557,            0.049633,             0.00175,             0.00175,             0.00175
                 127,            0.031046,            0.022218,            0.045065,             0.56025,             0.53479,             0.50476,             0.46655,            0.022941,            0.014911,             0.04952,            0.001684,            0.001684,            0.001684
                 128,             0.03099,            0.021671,            0.044662,             0.56715,             0.53327,             0.49765,             0.45564,            0.023164,            0.015273,            0.049415,            0.001618,            0.001618,            0.001618
                 129,            0.031433,            0.022829,            0.044766,             0.53236,             0.56618,             0.50319,             0.45639,            0.023329,             0.01509,            0.049339,            0.001552,            0.001552,            0.001552
                 130,            0.030708,            0.021961,            0.044814,             0.53827,             0.56212,             0.50115,              0.4628,            0.022671,            0.014652,            0.049124,            0.001486,            0.001486,            0.001486
                 131,            0.030384,            0.021741,            0.044799,             0.52463,             0.56333,             0.51109,             0.46856,            0.022715,            0.014769,            0.049126,             0.00142,             0.00142,             0.00142
                 132,            0.030108,            0.021364,            0.044498,             0.53205,             0.55757,             0.50781,             0.46572,            0.022796,            0.014969,            0.049013,            0.001354,            0.001354,            0.001354
                 133,              0.0293,             0.02033,            0.044476,             0.56205,             0.55312,             0.50896,              0.4702,            0.022948,            0.015007,            0.048926,            0.001288,            0.001288,            0.001288
                 134,            0.029257,            0.020076,             0.04387,             0.55313,             0.55608,             0.51124,             0.47432,            0.022796,            0.014824,             0.04882,            0.001222,            0.001222,            0.001222
                 135,            0.029829,            0.021324,            0.044368,             0.52584,             0.55178,             0.51478,              0.4759,            0.022865,            0.014957,            0.048729,            0.001156,            0.001156,            0.001156
                 136,            0.029245,            0.020772,            0.044235,             0.56192,             0.56901,               0.512,             0.47789,            0.022875,            0.015483,            0.048787,             0.00109,             0.00109,             0.00109
                 137,            0.029422,            0.021365,            0.044014,             0.52202,             0.58111,             0.51249,             0.48317,            0.022257,            0.014755,            0.048651,            0.001024,            0.001024,            0.001024
                 138,            0.029445,            0.020438,            0.043924,             0.52513,             0.58235,             0.51006,             0.47695,            0.022409,            0.014656,            0.048493,            0.000958,            0.000958,            0.000958
                 139,            0.029385,            0.020574,            0.043627,             0.55917,             0.58318,             0.50883,             0.47194,            0.022431,            0.014391,            0.048428,            0.000892,            0.000892,            0.000892
                 140,            0.029149,            0.020593,             0.04401,             0.59943,             0.57279,             0.51492,             0.47692,            0.022513,            0.014885,            0.048459,            0.000826,            0.000826,            0.000826
                 141,            0.028594,            0.019894,            0.043813,             0.59634,             0.57428,             0.52121,             0.48531,            0.022633,            0.015232,            0.048375,             0.00076,             0.00076,             0.00076
                 142,            0.029983,            0.021653,            0.043998,             0.59947,             0.56335,             0.51906,             0.48738,            0.022265,            0.014581,            0.048201,            0.000694,            0.000694,            0.000694
                 143,            0.028731,            0.020334,            0.043722,             0.59074,             0.56194,             0.52134,              0.4893,            0.022245,            0.014544,            0.048218,            0.000628,            0.000628,            0.000628
                 144,            0.028929,             0.02077,            0.043465,             0.55893,             0.57057,             0.51384,             0.48484,            0.022254,            0.014501,            0.048233,            0.000562,            0.000562,            0.000562
                 145,            0.029238,            0.020935,            0.044083,             0.56421,             0.57215,             0.52023,             0.49007,            0.022309,            0.014721,            0.048213,            0.000496,            0.000496,            0.000496
                 146,            0.028909,             0.02105,            0.043231,             0.52796,             0.56937,             0.52213,             0.48914,            0.022209,            0.014371,            0.048083,             0.00043,             0.00043,             0.00043
                 147,            0.029285,            0.020811,            0.043416,             0.64307,             0.47981,             0.52489,              0.4941,            0.022243,            0.014452,            0.047985,            0.000364,            0.000364,            0.000364
                 148,            0.028639,            0.020175,             0.04347,             0.64106,             0.47776,             0.52278,             0.49014,            0.022321,            0.014758,            0.048012,            0.000298,            0.000298,            0.000298
                 149,            0.028245,            0.019379,            0.043246,             0.52684,             0.57954,             0.52223,              0.4917,            0.022187,            0.014559,            0.047969,            0.000232,            0.000232,            0.000232
